Volume,Next day %,High %,Low %,Close %
400353.0,-0.7142790155982814,0.35714547165440763,-0.7142790155982814,-0.7142790155982814
226686.0,1.785716921525313,1.785716921525313,0.0,1.071425978216519
318529.0,1.0526290039717128,1.0526290039717128,-0.35087975253908976,0.7017492514326023
1173507.0,3.1250011324594915,3.4722273459722848,-0.34722476396464635,2.4305516045302196
681310.0,0.0,1.0100985538113099,-1.6835027436344332,-0.33670279772278655
695087.0,-2.0202069469796293,0.3367042033452165,-2.0202069469796293,-1.3467999459116464
525594.0,1.3745705206840702,0.34364657533313403,-1.030923945350936,0.34364657533313403
1272030.0,0.6779710907058696,1.6949178206996582,-1.3559322753467136,1.0169580512109582
358606.0,0.0,0.0,-1.0100971481888599,0.0
815736.0,-1.3422818321843726,0.3355617023865546,-2.0134276514459164,-1.3422818321843726
1564259.0,1.3605441693889238,2.7210869188123867,0.0,1.3605441693889238
830347.0,-4.697991315814662,0.0,-2.6845636643687647,-1.6778547418151442
1515833.0,0.0,2.8169014498581375,-1.4084507249290896,0.7042305073396585
1014034.0,0.35211525366981883,1.4084507249290688,-0.35211525366983965,1.056335471259229
382402.0,2.105256543136915,2.105256543136915,0.0,1.4035087565108235
1132595.0,2.405507377474697,3.0927861820968867,-1.030923945350936,2.0618608021415428
784008.0,-3.0201365739995167,0.0,-2.6845636643687647,-2.6845636643687647
541875.0,2.7681646154427213,3.1141893454036484,-0.3460232854285544,2.7681646154427213
990238.0,-0.673405595445553,2.693602703068173,-0.673405595445553,-0.33670279772278655
1493289.0,3.050850096046372,3.050850096046372,0.0,1.6949178206996582
503051.0,-0.9868397291686238,0.3289497806539204,-0.9868397291686238,-0.9868397291686238
752698.0,0.6644469752456871,0.3322283419235805,-0.6644566838471412,0.3322283419235805
246724.0,-0.6600612184449598,0.0,-1.3201320814086606,-0.6600612184449598
702601.0,1.6611320010164088,1.9933506343385352,0.0,1.328903659092848
1224021.0,1.3071895157330746,2.6143790314661297,0.0,1.3071895157330746
719718.0,0.3215457779692858,0.6430915559385906,-0.32153503919404225,0.0
587380.0,-0.961534820513567,0.0,-1.2820499954700482,-0.961534820513567
561079.0,-0.6472539217476875,0.3236269608738533,-0.9708714253754649,0.3236269608738533
416634.0,-0.9771963671852475,0.32573529534748713,-1.3029316625327538,-0.6514610718377409
49261.0,0.0,0.3289497806539204,-0.3289497806539204,0.0
935549.0,0.0,0.6557329165241218,0.0,0.0
452537.0,0.0,0.32787124889981767,-0.6557424977996743,-0.32787124889983715
249646.0,-0.32787124889983715,0.0,-0.983604165423959,-0.32787124889983715
167822.0,-0.9868397291686238,0.0,-1.6447392904764453,-1.6447392904764453
356519.0,0.9966753171692676,0.6644469752456871,-0.9966739302261859,0.3322283419235805
247559.0,0.0,0.6578995613078213,-0.6578899485147035,-0.6578899485147035
395761.0,1.6447392904764453,1.6447392904764453,-0.3289497806539204,1.3157895098225247
475915.0,3.559866846838912,0.9708700743402947,-0.3236269608738533,0.0
650835.0,-3.7499988421733916,0.0,-3.7499988421733916,-3.437496546904429
195793.0,0.6493554109293672,0.9740222730207254,-0.32467770546466435,0.6493554109293672
414547.0,0.32257222191420315,0.9677382125737275,-0.3225829953297717,0.6451552172439557
98522.0,0.0,0.6430915559385906,-0.32153503919404225,0.0
149454.0,0.0,0.3215457779692858,-0.32153503919404225,0.0
582370.0,0.3215457779692858,0.6430915559385906,-0.6430808171633471,-0.32153503919404225
347334.0,0.3205151749564814,0.9615468629139217,0.0,0.3205151749564814
448362.0,2.875401743058069,2.875401743058069,0.0,2.2364194284288
824920.0,1.8633481909818783,1.8633481909818783,0.0,1.242236016791999
714708.0,2.4390245144169866,2.7439048060736715,-0.6097504011210848,1.8292728405218543
614515.0,-1.190476249641418,1.190476249641418,-0.5952337761761067,0.5952424734653115
514740.0,-0.6024040103766442,2.710845710361781,-0.6024040103766442,-0.301196975430699
528099.0,-0.30303251496886274,0.9090874244251381,-0.9090886894853307,-0.6060662949979
527681.0,1.519757814690155,1.8237126767821596,-0.3039548620920048,1.519757814690155
485047.0,-0.9049722149948201,0.0,-3.167414558756653,-1.809952694381982
649426.0,-0.913245093740315,1.826481847614837,-2.2831037987802856,-1.826490187480647
265876.0,-0.9216621279042804,0.4608304627570378,-0.9216621279042804,-0.9216621279042804
93147.0,0.0,0.9302357585914408,-0.4651087774814482,0.0
74883.0,0.0,0.0,-0.9302272635647856,0.0
729789.0,-0.4651087774814482,0.4651172725080862,-0.9302272635647856,-0.4651087774814482
2675981.0,0.0,0.4672821477663131,-0.9345838034695316,0.0
559148.0,-0.4672919017347658,0.4672821477663131,-0.4672919017347658,0.0
65229.0,0.23473737299446878,0.7042231437156116,0.0,0.23473737299446878
148984.0,0.7025751622067943,0.46838629304139123,0.0,0.0
498093.0,-2.325581508239564,0.0,-1.8604630221562266,-1.8604630221562266
222302.0,-0.47618279654327667,0.4761927363023652,-1.190476249641418,-0.7142835133390528
187078.0,1.4354021648483408,0.0,-1.9138832856919592,-0.9569410186386521
42007.0,-2.1226447459540125,0.2358458607216328,-3.301890049291853,-2.1226447459540125
149767.0,-1.199040800396879,0.0,-1.91846302809971,-1.438844455405679
540362.0,0.9708771066095343,1.2135922668265913,-0.48543918660250956,0.7281530802240818
51400.0,-0.2403901336116686,0.0,-0.48077023189019114,-0.2403901336116686
91321.0,0.0,0.2409694002749528,-0.2409593407597246,0.2409694002749528
37311.0,0.9638599969481931,0.9638599969481931,0.0,0.9638599969481931
49313.0,-1.19331742837916,0.0,-1.4319776759236056,-0.9546584262698826
